Name,Research unit(s),URL,Research,Words,Synonym_,merge_synonyms
William M. Jacobs,Chemistry,https://collaborate.princeton.edu/en/persons/william-m-jacobs,Chemistry,Chemistry,"chemistry, chemical_science, alchemy, interpersonal_chemistry","Chemistry, chemistry, chemical_science, alchemy, interpersonal_chemistry"
Gregory B. Jaczko,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/gregory-b-jaczko,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Peter R. Jaffe,"Civil & Environmental Engineering, Andlinger Center for Energy & the Environment, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/peter-r-jaffe,"Civil Environmental Engineering, Andlinger Center Energy Environment, High Meadows Environmental Institute, Princeton Materials Institute","Civil, Environmental, Engineering, Andlinger, Center, Energy, Environment, High, Meadows, Environmental, Institute, Princeton, Materials, Institute","civil, polite, civic, , , , , , , , , , , , , ","Civil, Environmental, Engineering, Andlinger, Center, Energy, Environment, High, Meadows, Environmental, Institute, Princeton, Materials, Institute, civil, polite, civic, , , , , , , , , , , , , "
Harold James,History,https://collaborate.princeton.edu/en/persons/harold-james,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Kyle Andrew Jamieson,Computer Science,https://collaborate.princeton.edu/en/persons/kyle-andrew-jamieson,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Seema Jayachandran,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/seema-jayachandran,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Jesse D. Jenkins,"Mechanical & Aerospace Engineering, Andlinger Center for Energy & the Environment",https://collaborate.princeton.edu/en/persons/jesse-d-jenkins,"Mechanical Aerospace Engineering, Andlinger Center Energy Environment","Mechanical, Aerospace, Engineering, Andlinger, Center, Energy, Environment","mechanically_skillful, mechanical, , , , , , ","Mechanical, Aerospace, Engineering, Andlinger, Center, Energy, Environment, mechanically_skillful, mechanical, , , , , , "
Jennifer L. Jennings,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/jennifer-l-jennings,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Niraj Kumar Jha,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/niraj-kumar-jha,Electrical and Computer Engineering,"Electrical, and, Computer, Engineering","electric, electrical, , , ","Electrical, and, Computer, Engineering, electric, electrical, , , "
Hantao Ji,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/hantao-ji,Astrophysical Sciences,"Astrophysical, Sciences","astrophysical, ","Astrophysical, Sciences, astrophysical, "
John Jimah,Molecular Biology,https://collaborate.princeton.edu/en/persons/john-jimah,Molecular Biology,"Molecular, Biology","molecular, ","Molecular, Biology, molecular, "
Chi Jin,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/chi-jin,Electrical and Computer Engineering,"Electrical, and, Computer, Engineering","electric, electrical, , , ","Electrical, and, Computer, Engineering, electric, electrical, , , "
Nathalie Joachim,Music,https://collaborate.princeton.edu/en/persons/nathalie-joachim,Music,Music,"medicine, euphony, music","Music, medicine, euphony, music"
Claudia L. Johnson,English,https://collaborate.princeton.edu/en/persons/claudia-l-johnson,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Mark Johnston,Philosophy,https://collaborate.princeton.edu/en/persons/mark-johnston,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
Matthew Laurence Jones,History,https://collaborate.princeton.edu/en/persons/matthew-laurence-jones,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
William Claude Jones,Physics,https://collaborate.princeton.edu/en/persons/william-claude-jones,Physics,Physics,"aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic","Physics, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic"
Martin C. Jonikas,Molecular Biology,https://collaborate.princeton.edu/en/persons/martin-c-jonikas,Molecular Biology,"Molecular, Biology","molecular, ","Molecular, Biology, molecular, "
William Chester Jordan,History,https://collaborate.princeton.edu/en/persons/william-chester-jordan,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Jerelle Aurelia Joseph,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/jerelle-aurelia-joseph,Chemical Biological Engineering,"Chemical, Biological, Engineering","chemic, chemical_substance, chemical, , ","Chemical, Biological, Engineering, chemic, chemical_substance, chemical, , "
Yiguang Ju,"Mechanical & Aerospace Engineering, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/yiguang-ju,"Mechanical Aerospace Engineering, High Meadows Environmental Institute","Mechanical, Aerospace, Engineering, High, Meadows, Environmental, Institute","mechanically_skillful, mechanical, , , , , , ","Mechanical, Aerospace, Engineering, High, Meadows, Environmental, Institute, mechanically_skillful, mechanical, , , , , , "
Gleason Judd,Politics,https://collaborate.princeton.edu/en/persons/gleason-judd,Politics,Politics,"politics, government, political_sympathies, political_relation, political_science","Politics, politics, government, political_sympathies, political_relation, political_science"
Justin Anthony Junge,Psychology,https://collaborate.princeton.edu/en/persons/justin-anthony-junge,Psychology,Psychology,"psychological_science, psychology","Psychology, psychological_science, psychology"
Antoine Kahn,"Electrical and Computer Engineering, Princeton Institute for Computational Science and Engineering, Princeton Materials Institute, School of Engineering & Applied Science",https://collaborate.princeton.edu/en/persons/antoine-kahn,"Electrical and Computer Engineering, Princeton Institute Computational Science and Engineering, Princeton Materials Institute, School of Engineering Applied Science","Electrical, and, Computer, Engineering, Princeton, Institute, Computational, Science, and, Engineering, Princeton, Materials, Institute, School, of, Engineering, Applied, Science","electric, electrical, , , , , , , , , , , , , , , , , ","Electrical, and, Computer, Engineering, Princeton, Institute, Computational, Science, and, Engineering, Princeton, Materials, Institute, School, of, Engineering, Applied, Science, electric, electrical, , , , , , , , , , , , , , , , , "
Laura Kalin,Council of the Humanities,https://collaborate.princeton.edu/en/persons/laura-kalin,Council of Humanities,"Council, of, Humanities","council, , ","Council, of, Humanities, council, , "
Ilya Kaminsky,Lewis Center for the Arts,https://collaborate.princeton.edu/en/persons/ilya-kaminsky,Lewis Center Arts,"Lewis, Center, Arts","Lewis, John_Llewelly_Lewis, Clive_Staples_Lewis, Sinclair_Lewis, Harry_Sinclair_Lewis, Frederick_Carleton_Lewis, C._S._Lewis, John_L._Lewis, Jerry_Lee_Lewis, Carl_Lewis, Meriwether_Lewis, , ","Lewis, Center, Arts, Lewis, John_Llewelly_Lewis, Clive_Staples_Lewis, Sinclair_Lewis, Harry_Sinclair_Lewis, Frederick_Carleton_Lewis, C._S._Lewis, John_L._Lewis, Jerry_Lee_Lewis, Carl_Lewis, Meriwether_Lewis, , "
Yibin Kang,"Molecular Biology, Princeton Branch of the Ludwig Institute for Cancer Research",https://collaborate.princeton.edu/en/persons/yibin-kang,"Molecular Biology, Princeton Branch of Ludwig Institute Cancer Research","Molecular, Biology, Princeton, Branch, of, Ludwig, Institute, Cancer, Research","molecular, , , , , , , , ","Molecular, Biology, Princeton, Branch, of, Ludwig, Institute, Cancer, Research, molecular, , , , , , , , "
Alan Kaplan,Computer Science,https://collaborate.princeton.edu/en/persons/alan-kaplan,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Adam Kapor,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/adam-kapor,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Matthew Jason Karp,History,https://collaborate.princeton.edu/en/persons/matthew-jason-karp,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
John Kastellec,Politics,https://collaborate.princeton.edu/en/persons/john-kastellec,Politics,Politics,"politics, government, political_sympathies, political_relation, political_science","Politics, politics, government, political_sympathies, political_relation, political_science"
Jakub Kastl,"Economics, Bendheim Center for Finance",https://collaborate.princeton.edu/en/persons/jakub-kastl,"Economics, Bendheim Center Finance","Economics, Bendheim, Center, Finance","economic_science, economics, political_economy, , , ","Economics, Bendheim, Center, Finance, economic_science, economics, political_economy, , , "
Sabine Kastner,"Psychology, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/sabine-kastner,"Psychology, Princeton Neuroscience Institute","Psychology, Princeton, Neuroscience, Institute","psychological_science, psychology, , , ","Psychology, Princeton, Neuroscience, Institute, psychological_science, psychology, , , "
Nicholas Michael Katz,Mathematics,https://collaborate.princeton.edu/en/persons/nicholas-michael-katz,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Stanley Nider Katz,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/stanley-nider-katz,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Thomas DaCosta Kaufmann,Art and Archaeology,https://collaborate.princeton.edu/en/persons/thomas-dacosta-kaufmann,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
Casey Lynn Kelleher,Mathematics,https://collaborate.princeton.edu/en/persons/casey-lynn-kelleher,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Michael T. Kelly,Chemistry,https://collaborate.princeton.edu/en/persons/michael-t-kelly,Chemistry,Chemistry,"chemistry, chemical_science, alchemy, interpersonal_chemistry","Chemistry, chemistry, chemical_science, alchemy, interpersonal_chemistry"
Peter Kelly,Classics,https://collaborate.princeton.edu/en/persons/peter-kelly,Classics,Classics,"classics, classic","Classics, classics, classic"
Thomas P. Kelly,Philosophy,https://collaborate.princeton.edu/en/persons/thomas-p-kelly,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
Martin Kern,East Asian Studies,https://collaborate.princeton.edu/en/persons/martin-kern,East Asian Studies,"East, Asian, Studies","east, Orient, East, eastward, due_east, eastern_United_States, E, , ","East, Asian, Studies, east, Orient, East, eastward, due_east, eastern_United_States, E, , "
Brian W. Kernighan,"Computer Science, Center for Information Technology Policy",https://collaborate.princeton.edu/en/persons/brian-w-kernighan,"Computer Science, Center Information Technology Policy","Computer, Science, Center, Information, Technology, Policy","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , ","Computer, Science, Center, Information, Technology, Policy, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , "
Anna Arabindan Kesson,Art and Archaeology,https://collaborate.princeton.edu/en/persons/anna-arabindan-kesson,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
Paize Keulemans,East Asian Studies,https://collaborate.princeton.edu/en/persons/paize-keulemans,East Asian Studies,"East, Asian, Studies","east, Orient, East, eastward, due_east, eastern_United_States, E, , ","East, Asian, Studies, east, Orient, East, eastward, due_east, eastern_United_States, E, , "
Shamus Rahman Khan,Sociology,https://collaborate.princeton.edu/en/persons/shamus-rahman-khan,Sociology,Sociology,sociology,"Sociology, sociology"
Zachary Kincaid,Computer Science,https://collaborate.princeton.edu/en/persons/zachary-kincaid,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Ryan Scott Kingsbury,Civil & Environmental Engineering,https://collaborate.princeton.edu/en/persons/ryan-scott-kingsbury,Civil Environmental Engineering,"Civil, Environmental, Engineering","civil, polite, civic, , ","Civil, Environmental, Engineering, civil, polite, civic, , "
Patricia A. Kirkland,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/patricia-a-kirkland,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Beatrice Ellen Kitzinger,Art and Archaeology,https://collaborate.princeton.edu/en/persons/beatrice-ellen-kitzinger,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
Nobuhiro Kiyotaki,"Economics, Bendheim Center for Finance",https://collaborate.princeton.edu/en/persons/nobuhiro-kiyotaki,"Economics, Bendheim Center Finance","Economics, Bendheim, Center, Finance","economic_science, economics, political_economy, , , ","Economics, Bendheim, Center, Finance, economic_science, economics, political_economy, , , "
Sergiu Klainerman,Mathematics,https://collaborate.princeton.edu/en/persons/sergiu-klainerman,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Igor R. Klebanov,"Physics, Princeton Center for Theoretical Science",https://collaborate.princeton.edu/en/persons/igor-r-klebanov,"Physics, Princeton Center Theoretical Science","Physics, Princeton, Center, Theoretical, Science","aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , ","Physics, Princeton, Center, Theoretical, Science, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , "
Ralph Elliot Kleiner,"Chemistry, Molecular Biology",https://collaborate.princeton.edu/en/persons/ralph-elliot-kleiner,"Chemistry, Molecular Biology","Chemistry, Molecular, Biology","chemistry, chemical_science, alchemy, interpersonal_chemistry, , ","Chemistry, Molecular, Biology, chemistry, chemical_science, alchemy, interpersonal_chemistry, , "
Henrik Jacobsen Kleven,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/henrik-jacobsen-kleven,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Jason Matthew Klusowski,Operations Research & Financial Engineering,https://collaborate.princeton.edu/en/persons/jason-matthew-klusowski,Operations Research Financial Engineering,"Operations, Research, Financial, Engineering","surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , ","Operations, Research, Financial, Engineering, surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , "
Boris C. Kment,Philosophy,https://collaborate.princeton.edu/en/persons/boris-c-kment,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
Robert Randolph Knowles,"Chemistry, Keller Center for Innovation in Engineering Education",https://collaborate.princeton.edu/en/persons/robert-randolph-knowles,"Chemistry, Keller Center Innovation in Engineering Education","Chemistry, Keller, Center, Innovation, in, Engineering, Education","chemistry, chemical_science, alchemy, interpersonal_chemistry, , , , , , ","Chemistry, Keller, Center, Innovation, in, Engineering, Education, chemistry, chemical_science, alchemy, interpersonal_chemistry, , , , , , "
Sarah D. Kocher,Ecology & Evolutionary Biology,https://collaborate.princeton.edu/en/persons/sarah-d-kocher,Ecology Evolutionary Biology,"Ecology, Evolutionary, Biology","environmental_science, bionomics, ecology, , ","Ecology, Evolutionary, Biology, environmental_science, bionomics, ecology, , "
Bruce E. Koel,"Chemical & Biological Engineering, Chemistry, High Meadows Environmental Institute, Mechanical & Aerospace Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/bruce-e-koel,"Chemical Biological Engineering, Chemistry, High Meadows Environmental Institute, Mechanical Aerospace Engineering, Princeton Materials Institute","Chemical, Biological, Engineering, Chemistry, High, Meadows, Environmental, Institute, Mechanical, Aerospace, Engineering, Princeton, Materials, Institute","chemic, chemical_substance, chemical, , , , , , , , , , , , , ","Chemical, Biological, Engineering, Chemistry, High, Meadows, Environmental, Institute, Mechanical, Aerospace, Engineering, Princeton, Materials, Institute, chemic, chemical_substance, chemical, , , , , , , , , , , , , "
Atul Kohli,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/atul-kohli,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Gillat Kol,Computer Science,https://collaborate.princeton.edu/en/persons/gillat-kol,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Egemen Kolemen,"Mechanical & Aerospace Engineering, Andlinger Center for Energy & the Environment",https://collaborate.princeton.edu/en/persons/egemen-kolemen,"Mechanical Aerospace Engineering, Andlinger Center Energy Environment","Mechanical, Aerospace, Engineering, Andlinger, Center, Energy, Environment","mechanically_skillful, mechanical, , , , , , ","Mechanical, Aerospace, Engineering, Andlinger, Center, Energy, Environment, mechanically_skillful, mechanical, , , , , , "
Michal Kolesar,Economics,https://collaborate.princeton.edu/en/persons/michal-kolesar,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
Janos Kollar,Mathematics,https://collaborate.princeton.edu/en/persons/janos-kollar,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Michael Koortbojian,Art and Archaeology,https://collaborate.princeton.edu/en/persons/michael-koortbojian,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
Yedidah Koren,Religion,https://collaborate.princeton.edu/en/persons/yedidah-koren,Religion,Religion,"religious_belief, religion, organized_religion, faith","Religion, religious_belief, religion, organized_religion, faith"
Alexei V. Korennykh,Molecular Biology,https://collaborate.princeton.edu/en/persons/alexei-v-korennykh,Molecular Biology,"Molecular, Biology","molecular, ","Molecular, Biology, molecular, "
Alain Lucien Kornhauser,Operations Research & Financial Engineering,https://collaborate.princeton.edu/en/persons/alain-lucien-kornhauser,Operations Research Financial Engineering,"Operations, Research, Financial, Engineering","surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , ","Operations, Research, Financial, Engineering, surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , "
Aleksandra Korolova,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/aleksandra-korolova,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Andrej Kosmrlj,"Mechanical & Aerospace Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/andrej-kosmrlj,"Mechanical Aerospace Engineering, Princeton Materials Institute","Mechanical, Aerospace, Engineering, Princeton, Materials, Institute","mechanically_skillful, mechanical, , , , , ","Mechanical, Aerospace, Engineering, Princeton, Materials, Institute, mechanically_skillful, mechanical, , , , , "
Pravesh Kumar Kothari,Computer Science,https://collaborate.princeton.edu/en/persons/pravesh-kumar-kothari,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Joshua Isaac Kotin,English,https://collaborate.princeton.edu/en/persons/joshua-isaac-kotin,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Mirjam Engert Kotwick,Classics,https://collaborate.princeton.edu/en/persons/mirjam-engert-kotwick,Classics,Classics,"classics, classic","Classics, classics, classic"
Dmitry Krachun,Mathematics,https://collaborate.princeton.edu/en/persons/dmitry-krachun,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Eve Krakowski,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/eve-krakowski,Near Eastern Studies,"Near, Eastern, Studies","approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , ","Near, Eastern, Studies, approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , "
Emmanuel H. P. M. Kreike,History,https://collaborate.princeton.edu/en/persons/emmanuel-h-p-m-kreike,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Fenna Krienen,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/fenna-krienen,Princeton Neuroscience Institute,"Princeton, Neuroscience, Institute","Princeton, Princeton_University, , ","Princeton, Neuroscience, Institute, Princeton, Princeton_University, , "
Kevin Michael Kruse,History,https://collaborate.princeton.edu/en/persons/kevin-michael-kruse,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Christopher Brian Kuenne,Keller Center for Innovation in Engineering Education,https://collaborate.princeton.edu/en/persons/christopher-brian-kuenne,Keller Center Innovation in Engineering Education,"Keller, Center, Innovation, in, Engineering, Education","Helen_Adams_Keller, Keller, Helen_Keller, , , , , ","Keller, Center, Innovation, in, Engineering, Education, Helen_Adams_Keller, Keller, Helen_Keller, , , , , "
Sanjeev Ramesh Kulkarni,"Electrical and Computer Engineering, Operations Research & Financial Engineering, Center for Information Technology Policy",https://collaborate.princeton.edu/en/persons/sanjeev-ramesh-kulkarni,"Electrical and Computer Engineering, Operations Research Financial Engineering, Center Information Technology Policy","Electrical, and, Computer, Engineering, Operations, Research, Financial, Engineering, Center, Information, Technology, Policy","electric, electrical, , , , , , , , , , , ","Electrical, and, Computer, Engineering, Operations, Research, Financial, Engineering, Center, Information, Technology, Policy, electric, electrical, , , , , , , , , , , "
Sun-Yuan Kung,"Electrical and Computer Engineering, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/sun-yuan-kung,"Electrical and Computer Engineering, Center Statistics Machine Learning","Electrical, and, Computer, Engineering, Center, Statistics, Machine, Learning","electric, electrical, , , , , , , ","Electrical, and, Computer, Engineering, Center, Statistics, Machine, Learning, electric, electrical, , , , , , , "
Alice Kunin,Chemistry,https://collaborate.princeton.edu/en/persons/alice-kunin,Chemistry,Chemistry,"chemistry, chemical_science, alchemy, interpersonal_chemistry","Chemistry, chemistry, chemical_science, alchemy, interpersonal_chemistry"
Matthew Walter Kunz,"Astrophysical Sciences, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/matthew-walter-kunz,"Astrophysical Sciences, Princeton Institute Computational Science and Engineering","Astrophysical, Sciences, Princeton, Institute, Computational, Science, and, Engineering","astrophysical, , , , , , , ","Astrophysical, Sciences, Princeton, Institute, Computational, Science, and, Engineering, astrophysical, , , , , , , "
Daniel C. Kurtzer,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/daniel-c-kurtzer,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Ilyana Kuziemko,Economics,https://collaborate.princeton.edu/en/persons/ilyana-kuziemko,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
German Labrador Mendez,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/german-labrador-mendez,Spanish Portuguese,"Spanish, Portuguese","Spanish, Spanish_people, ","Spanish, Portuguese, Spanish, Spanish_people, "
Michael F. Laffan,History,https://collaborate.princeton.edu/en/persons/michael-f-laffan,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Joel Benjamin Lande,German,https://collaborate.princeton.edu/en/persons/joel-benjamin-lande,German,German,"High_German, German_language, German","German, High_German, German_language, German"
Melissa Lane,Politics,https://collaborate.princeton.edu/en/persons/melissa-lane,Politics,Politics,"politics, government, political_sympathies, political_relation, political_science","Politics, politics, government, political_sympathies, political_relation, political_science"
David Lange,Physics,https://collaborate.princeton.edu/en/persons/david-lange,Physics,Physics,"aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic","Physics, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic"
Eric David Larson,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/eric-david-larson,Chemical Biological Engineering,"Chemical, Biological, Engineering","chemic, chemical_substance, chemical, , ","Chemical, Biological, Engineering, chemic, chemical_substance, chemical, , "
Satyel Larson,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/satyel-larson,Near Eastern Studies,"Near, Eastern, Studies","approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , ","Near, Eastern, Studies, approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , "
Ngar-Cheung Lau,Atmospheric & Oceanic Sciences,https://collaborate.princeton.edu/en/persons/ngar-cheung-lau,Atmospheric Oceanic Sciences,"Atmospheric, Oceanic, Sciences","atmospheric, atmospherical, , ","Atmospheric, Oceanic, Sciences, atmospheric, atmospherical, , "
Chung King Law,"Mechanical & Aerospace Engineering, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/chung-king-law,"Mechanical Aerospace Engineering, High Meadows Environmental Institute, Princeton Materials Institute","Mechanical, Aerospace, Engineering, High, Meadows, Environmental, Institute, Princeton, Materials, Institute","mechanically_skillful, mechanical, , , , , , , , , ","Mechanical, Aerospace, Engineering, High, Meadows, Environmental, Institute, Princeton, Materials, Institute, mechanically_skillful, mechanical, , , , , , , , , "
